"word","valence","valence_mean_sd","dominance","dominance_mean_sd","arousal","arousal_mean_sd","frequency"
"abundance","6.5900001526","2.0099999904633","5.5100002289","2.630000114440918","5.8000001907","2.1600000858307","13"
"acceptance","7.9800000191","1.4199999570847","5.4000000954","2.700000047683716","6.6399998665","1.9099999666214","49"
"ace","6.8800001144","1.9299999475479","5.5","2.660000085830688","6.3899998665","2.3099999427795","15"
"ache","2.4600000381","1.5199999809265","5","2.450000047683716","3.5399999619","1.7300000190735","4"
"addicted","2.5099999905","1.4199999570847","4.8099999428","2.460000038146973","3.4600000381","2.2300000190735","3"
"advantage","6.9499998093","1.8500000238419","4.7600002289","2.180000066757202","6.3600001335","2.2300000190735","73"
"adventure","7.5999999046","1.5","6.9800000191","2.150000095367432","6.4600000381","1.6699999570847","14"
"agreement","7.0799999237","1.5900000333786","5.0199999809","2.240000009536743","6.2199997902","1.8500000238419","106"
"air","6.3400001526","1.5599999427795","4.1199998856","2.299999952316284","5.0999999046","1.5599999427795","257"
"alien","5.5999999046","1.8200000524521","5.4499998093","2.150000095367432","4.6399998665","2.0699999332428","16"
"alimony","3.9500000477","2","4.3000001907","2.289999961853027","4.6300001144","2.2999999523163","2"
"alive","7.25","2.2200000286102","5.5","2.740000009536743","6.3899998665","2.1500000953674","57"
"allergy","3.0699999332","1.6399999856949","4.6399998665","2.339999914169312","3.2100000381","1.7699999809265","1"
"alley","4.4800000191","1.9700000286102","4.9099998474","2.420000076293945","4","1.7000000476837","8"
"ankle","5.2699999809","1.539999961853","4.1599998474","2.029999971389771","4.7699999809","1.7400000095367","8"
"answer","6.6300001144","1.6799999475479","5.4099998474","2.430000066757202","5.8499999046","1.8799999952316","152"
"applause","7.5","1.5","5.8000001907","2.789999961853027","6.4800000191","2.1099998950958","14"
"appliance","5.0999999046","1.210000038147","4.0500001907","2.059999942779541","5.0500001907","1.3400000333786","5"
"arm","5.3400001526","1.8200000524521","3.5899999142","2.400000095367432","5.0700001717","1.5","94"
"art","6.6799998283","2.0999999046326","4.8600001335","2.880000114440918","5.3000001907","2.3299999237061","208"
"athletics","6.6100001335","2.0799999237061","6.0999999046","2.289999961853027","6.1199998856","2.1199998855591","9"
"avalanche","3.2899999619","1.9500000476837","5.5399999619","2.369999885559082","3.6099998951","2","1"
"avenue","5.5","1.3700000047684","4.1199998856","2.009999990463257","5.4000000954","1.5299999713898","46"
"bake","6.1700000763","1.710000038147","5.0999999046","2.299999952316284","5.4899997711","1.8799999952316","12"
"bandage","4.5399999619","1.75","3.9000000954","2.069999933242798","4.5199999809","1.8899999856949","4"
"banner","5.4000000954","0.8299999833107","3.8299999237","1.950000047683716","4.8000001907","1.5700000524521","8"
"bar","6.4200000763","2.0499999523163","5","2.829999923706055","5.4699997902","1.9400000572205","82"
"barrel","5.0500001907","1.460000038147","3.3599998951","2.279999971389771","4.8899998665","1.5700000524521","24"
"bathtub","6.6900000572","1.5700000524521","4.3600001335","2.589999914169312","5.7600002289","1.7599999904633","4"
"beast","4.2300000191","2.4100000858307","5.5700001717","2.609999895095825","4.8899998665","2.289999961853","7"
"beautiful","7.5999999046","1.6399999856949","6.1700000763","2.339999914169312","6.2899999619","1.8099999427795","127"
"bench","4.6100001335","1.3999999761581","3.5899999142","2.069999933242798","4.6799998283","1.3799999952316","35"
"bereavement","4.5700001717","1.7000000476837","4.1999998093","2.150000095367432","4.3299999237","1.7300000190735","4"
"beverage","6.8299999237","1.4800000190735","5.2100000381","2.460000038146973","5.6300001144","2.1700000762939","5"
"bland","4.0999999046","1.0800000429153","3.2899999619","1.889999985694885","4.8800001144","1.2699999809265","3"
"blasphemy","3.75","2.2599999904633","4.9299998283","2.339999914169312","4.75","1.5900000333786","4"
"bliss","6.9499998093","2.2400000095367","4.4099998474","2.950000047683716","6.1199998856","2.1500000953674","4"
"blister","2.8800001144","1.75","4.0999999046","2.339999914169312","3.9800000191","1.8999999761581","3"
"blond","6.4299998283","2.039999961853","5.0700001717","2.700000047683716","5.7399997711","1.6699999570847","11"
"blubber","3.5199999809","1.9900000095367","4.5700001717","2.380000114440918","3.8599998951","1.9700000286102","1"
"board","4.8200001717","1.2300000190735","3.3599998951","2.119999885559082","4.9800000191","1.7699999809265","239"
"body","5.5500001907","2.3699998855591","5.5199999809","2.630000114440918","5.3400001526","2.1199998855591","276"
"bottle","6.1500000954","1.4900000095367","4.7899999619","2.440000057220459","4.7800002098","1.6499999761581","76"
"bouquet","7.0199999809","1.8400000333786","5.4600000381","2.470000028610229","6.1500000954","1.7999999523163","4"
"brave","7.1500000954","1.6399999856949","6.1500000954","2.450000047683716","7.2199997902","1.8600000143051","24"
"breeze","6.8499999046","1.710000038147","4.3699998856","2.319999933242798","5.5399999619","1.6699999570847","14"
"bride","7.3400001526","1.710000038147","5.5500001907","2.740000009536743","5.7399997711","2.3599998950958","33"
"bright","7.5","1.5499999523163","5.4000000954","2.329999923706055","6.3400001526","1.8200000524521","87"
"broken","3.0499999523","1.9199999570847","5.4299998283","2.420000076293945","4.1399998665","1.6200000047684","63"
"bullet","3.2899999619","2.0599999427795","5.3299999237","2.480000019073486","3.9000000954","2.6099998950958","28"
"busybody","5.1700000763","2.0199999809265","4.8400001526","2.410000085830688","5.4499998093","1.9700000286102","0"
"cabinet","5.0500001907","0.3100000023842","3.4300000668","1.850000023841858","4.7300000191","1.6599999666214","17"
"cane","4","1.7999999523163","4.1999998093","1.929999947547913","4.2699999809","1.9500000476837","12"
"cannon","4.9000000954","2.2000000476837","4.7100000381","2.839999914169312","5.1700000763","2.289999961853","7"
"carcass","3.3399999142","1.9199999570847","4.8299999237","2.069999933242798","4.9000000954","1.789999961853","7"
"casino","6.8099999428","1.6599999666214","6.5100002289","2.119999885559082","5.1199998856","2.1500000953674","2"
"cellar","4.3200001717","1.6799999475479","4.3899998665","2.329999923706055","4.6599998474","1.6100000143051","26"
"champ","7.1799998283","1.9700000286102","6","2.430000066757202","6.7699999809","2","1"
"chance","6.0199999809","1.7699999809265","5.3800001144","2.579999923706055","4.6399998665","1.9299999475479","131"
"chaos","4.1700000763","2.3599998950958","6.6700000763","2.059999942779541","3.8599998951","1.9500000476837","17"
"chin","5.2899999619","1.2699999809265","3.3099999428","1.980000019073486","5.2600002289","1.4800000190735","27"
"christmas","7.8000001907","1.5499999523163","6.2699999809","2.559999942779541","5.3699998856","2.0899999141693","27"
"circle","5.6700000763","1.2599999904633","3.8599998951","2.130000114440918","5.0300002098","1.460000038147","60"
"clock","5.1399998665","1.539999961853","4.0199999809","2.539999961853027","4.6700000763","1.9700000286102","20"
